ticker,adjusted_purchase_volume,estimated_purchase_volume,purchase_speculation,purchase_count,purchase_count_individual,purchase_days_ago,purchase_owner,purchase_confidence,adjusted_sale_volume,estimated_sale_volume,sale_speculation,sale_count,sale_count_individual,sale_days_ago,sale_owner,sale_confidence,date,volume_net,score,price_change
GMED,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.95
FCX,0.0,0.0,0,0,0,-1.0,[],0.0,1.2982456140350878,75000.5,0,1,1,105.0,['John Hoeven'],0.071,2015-04-21,-75000.5,-0.26,0.62
PRAA,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,67.0,['Thomas R Tillis'],0.12517241379310345,2015-04-21,-8000.5,-0.16,0.59
EMR,1.0,8000.5,0,1,1,7.0,['Gary C Peters'],0.388,0.0,0.0,0,0,0,-1.0,[],0.0,2015-04-21,8000.5,1.05,0.98
PRA,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,67.0,['Thomas R Tillis'],0.12517241379310345,2015-04-21,-8000.5,-0.16,1.14
CMRE,0.0,0.0,0,0,0,-1.0,[],0.0,2.0,32500.5,0,1,1,68.0,['Sheldon Whitehouse'],0.07285714285714286,2015-04-21,-32500.5,-0.15,0.59
ACN,0.0,0.0,0,0,0,-1.0,[],0.0,2.0,32500.5,0,1,1,15.0,['Sheldon Whitehouse'],0.07285714285714286,2015-04-21,-32500.5,-0.37,1.27
HEI,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,67.0,['Thomas R Tillis'],0.12517241379310345,2015-04-21,-8000.5,-0.16,1.02
ALE,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,67.0,['Thomas R Tillis'],0.12517241379310345,2015-04-21,-8000.5,-0.16,1.13
MTD,1.0006534727408514,32500.5,0,1,1,98.0,['Susan M Collins'],0.9879310344827585,0.0,0.0,0,0,0,-1.0,[],0.0,2015-04-21,32500.5,2.67,1.11
UL,1.0,8000.5,0,1,1,98.0,['Susan M Collins'],0.9879310344827585,0.0,0.0,0,0,0,-1.0,[],0.0,2015-04-21,8000.5,2.67,1.09
DHR,0.0,0.0,0,0,0,-1.0,[],0.0,6.0,97501.5,0,3,1,88.0,['Sheldon Whitehouse'],0.07285714285714286,2015-04-21,-97501.5,-0.18,1.12
